Exp,Time,Pa,Dn
1,0,15.65,5.76
1,0.5,53.57,9.05
1,1,73.34,17.26
1,1.5,93.93,41.97
1,2,115.4,55.97
1,2.5,76.57,74.91
1,3,32.83,62.52
1,3.5,23.74,27.04
1,4,56.7,18.77
1,4.5,86.37,31.11
1,5,121,58.31
1,5.5,71.48,73.13
1,6,55.78,63.21
1,6.5,31.84,52.46
1,7,26.87,40.07
1,7.5,53.24,27.67
1,8,65.59,26
1,8.5,81.23,24.32
1,9,143.9,21
1,9.5,237.9,33.35
1,10,276.6,64.67
1,10.5,222.2,94.34
1,11,137.2,103.4
1,11.5,46.45,82.74
1,12,27.46,65.4
1,12.5,41.46,51.35
1,13,44.73,28.24
1,13.5,88.42,23.27
1,14,105.7,38.09
1,14.5,155.2,14.97
1,15,205.5,24.84
1,15.5,312.7,49.56
1,16,213.7,75.93
1,16.5,163.4,104
1,17,85.78,106.4
1,17.5,48.64,100.6
1,18,44.49,84.08
1,18.5,63.44,45.3
1,19,71.66,35.37
1,19.5,127.7,35.35
1,20,206.9,41.1
1,20.5,309.9,52.62
1,21,156.5,120.2
1,21.5,63.3,112.8
1,22,77.29,92.14
1,22.5,45.11,65.72
1,23,57.45,33.54
1,23.5,69.8,21.14
1,24,121.7,17.82
1,24.5,185.2,26.04
1,25,175.3,65.61
1,25.5,139,76.3
1,26,77.11,96.07
1,26.5,57.29,68.84
1,27,54.79,54.79
1,27.5,75.38,35.8
1,28,87.73,32.48
1,28.5,136.4,24.21
1,29,290.6,35.73
1,29.5,345.8,55.5
1,30,271.6,93.41
1,30.5,156.1,117.3
1,31,71.1,95.02
1,31.5,43.86,85.92
1,32,30.64,82.6
1,32.5,35.56,66.08
1,33,52.03,63.58
1,33.5,37.99,37.99
1,34,62.71,25.6
1,34.5,103.9,23.1
1,35,187.2,37.09
2,0,61.21,3.448
2,0.5,86.21,3.448
2,1,94.83,5.172
2,1.5,138.8,9.483
2,2,212.9,9.483
2,2.5,302.6,10.34
2,3,346.6,14.66
2,3.5,311.2,24.14
2,4,212.1,38.79
2,4.5,162.9,63.79
2,5,93.1,91.38
2,5.5,63.79,78.45
2,6,67.24,47.41
2,6.5,80.17,30.17
2,7,87.93,14.66
2,7.5,106,18.1
2,8,131,20.69
2,8.5,175.9,24.14
2,9,223.3,19.83
2,9.5,274.1,23.28
2,10,283.6,27.59
2,10.5,233.6,41.38
2,11,180.2,55.17
2,11.5,162.1,69.83
2,12,125,57.76
2,12.5,105.2,51.72
2,13,111.2,38.79
2,13.5,128.4,31.03
2,14,113.8,28.45
2,14.5,129.3,16.38
2,15,133.6,8.621
2,15.5,149.1,12.93
2,16,182.8,18.1
2,16.5,200,19.83
2,17,225,27.59
2,17.5,201.7,34.48
2,18,176.7,57.76
2,18.5,150.9,42.24
2,19,129.3,34.48
2,19.5,124.1,11.21
2,20,132.8,13.79
2,20.5,161.2,15.52
2,21,203.4,20.69
2,21.5,235.3,25
2,22,212.9,37.93
2,22.5,184.5,50.86
2,23,150.9,53.45
2,23.5,137.1,51.72
2,24,123.3,38.79
2,24.5,126.7,35.34
2,25,131.9,25.86
2,25.5,156,10.34
2,26,184.5,15.52
2,26.5,240.5,25
2,27,256,39.66
2,27.5,219.8,56.9
2,28,220.7,45.69
2,28.5,193.1,22.41
2,29,150,9.483
2,29.5,161.2,6.897
2,30,179,8.621
2,30.5,196.6,10.34
2,31,223.3,16.38
2,31.5,243.1,28.45
2,32,254.3,43.97
3,0,15.49,5.424
3,0.5,20.86,7.12
3,1,92.11,23.46
3,1.5,63.62,41.65
3,2,47.93,60.74
3,2.5,61.53,55.13
3,3,64.15,50.42
3,3.5,88.73,42.04
3,4,134.4,45.58
3,4.5,118.7,81.15
3,5,76.45,68.2
3,5.5,35.14,41.55
3,6,46.9,26.77
3,6.5,79.73,19.31
3,7,142.8,15.53
3,7.5,237.8,24.54
3,8,321.9,28.08
3,8.5,384.9,37.11
3,9,420.5,44.29
3,9.5,453.3,52.41
3,10,448.6,64.18
3,10.5,420.1,91.5
3,11,302.8,108.8
3,11.5,126,100.4
3,12,115.8,70.98
3,12.5,126.7,53.47
3,13,165.9,43.28
3,13.5,231.7,45.89
3,14,322.2,52.17
3,14.5,339.5,74.01
3,15,291.7,80.3
3,15.5,221.1,83.82
3,16,162.4,80.05
3,16.5,153.1,45.13
3,17,171.3,41.33
3,17.5,238.9,41.21
3,18,281.8,53.8
3,18.5,294.5,65.66
3,19,248.6,79.26
3,19.5,200.9,88.28
3,20,176,85.41
3,20.5,180.5,61.49
3,21,192.3,47.63
3,21.5,260.8,53.91
3,22,320.2,58.37
3,22.5,329.2,70.14
3,23,293.4,81.92
3,23.5,255.7,76.29
3,24,181.4,76.15
3,24.5,170.3,53.16
3,25,189.4,44.7
3,25.5,243.3,49.22
