system,p_noise,o_noise,dist,rho,mae,rmse,tar,Jacobian,rho_coef,mae_coef,rmse_coef
predatorFR,0.001,0.001,Euclidean,0.997988139617075,0.00743600901413448,0.01292803926139273,x1,C1,0.9851878437928416,0.19843948302884123,0.2724072046666506
predatorFR,0.001,0.001,Euclidean,0.997988139617075,0.00743600901413448,0.01292803926139273,x1,C2,0.2904403532091828,0.06169208145697558,0.09011066778468538
predatorFR,0.001,0.001,Euclidean,0.997988139617075,0.00743600901413448,0.01292803926139273,x1,C3,0.3492902148189125,0.05146752978394737,0.0921531576754314
predatorFR,0.001,0.001,Geodesic,0.9978214723706637,0.00788689702940092,0.01298427517985612,x1,C1,0.976509470818994,0.24439946628681897,0.3361185226328175
predatorFR,0.001,0.001,Geodesic,0.9978214723706637,0.00788689702940092,0.01298427517985612,x1,C2,0.2464709829469519,0.07430206664748405,0.1072479468227093
predatorFR,0.001,0.001,Geodesic,0.9978214723706637,0.00788689702940092,0.01298427517985612,x1,C3,0.3723023105331503,0.04920058663424617,0.08848144262365339
predatorFR,0.001,0.001,Multiview,0.9990129006522982,0.00584902530190666,0.00907294588437744,x1,C1,0.9820507295421717,0.22832908876105945,0.301623193712142
predatorFR,0.001,0.001,Multiview,0.9990129006522982,0.00584902530190666,0.00907294588437744,x1,C2,0.4572251055542077,0.06104059435494122,0.08201893806432593
predatorFR,0.001,0.001,Multiview,0.9990129006522982,0.00584902530190666,0.00907294588437744,x1,C3,0.4846372625620347,0.02403240871120764,0.04211881828248372
predatorFR,0.001,0.001,LMD,0.9999766242606264,9.067293907219584e-4,0.00135736201695819,x1,C1,0.997646624898715,0.05339345724334022,0.1031178020468458
predatorFR,0.001,0.001,LMD,0.9999766242606264,9.067293907219584e-4,0.00135736201695819,x1,C2,0.936701656358523,0.00894429599426388,0.0178388514213391
predatorFR,0.001,0.001,LMD,0.9999766242606264,9.067293907219584e-4,0.00135736201695819,x1,C3,0.9503630028555348,0.00379859906957034,0.00573790524868876
predatorFR,0.001,0.001,Euclidean,0.995120034096123,0.01053998353880418,0.02220677033861935,x2,C1,0.01593939287547035,0.05487833863536614,0.09375211292436744
predatorFR,0.001,0.001,Euclidean,0.995120034096123,0.01053998353880418,0.02220677033861935,x2,C2,0.9853313890010148,0.23196305439556447,0.29650559725572706
predatorFR,0.001,0.001,Euclidean,0.995120034096123,0.01053998353880418,0.02220677033861935,x2,C3,NA,0.04726088055167526,0.11022946027368608
predatorFR,0.001,0.001,Geodesic,0.9948141258784552,0.01026037116549666,0.02262708601611595,x2,C1,-0.02707851668156913,0.06245727143689175,0.11200050250252412
predatorFR,0.001,0.001,Geodesic,0.9948141258784552,0.01026037116549666,0.02262708601611595,x2,C2,0.9854447814552484,0.22497322116946392,0.2919115093764564
predatorFR,0.001,0.001,Geodesic,0.9948141258784552,0.01026037116549666,0.02262708601611595,x2,C3,NA,0.05011690363504015,0.11371843492226452
predatorFR,0.001,0.001,Multiview,0.9981446857152462,0.00658647922327023,0.013679769072198259,x2,C1,0.2012696497145972,0.02861133153201551,0.070247415751648
predatorFR,0.001,0.001,Multiview,0.9981446857152462,0.00658647922327023,0.013679769072198259,x2,C2,0.9916249374632192,0.15754769498684054,0.2061949107120137
predatorFR,0.001,0.001,Multiview,0.9981446857152462,0.00658647922327023,0.013679769072198259,x2,C3,NA,0.02503099728164973,0.04853617312594294
predatorFR,0.001,0.001,LMD,0.99990632388344,0.00133413563741506,0.00308572091166911,x2,C1,0.845354434397859,0.00634948724728639,0.01057832381486893
predatorFR,0.001,0.001,LMD,0.99990632388344,0.00133413563741506,0.00308572091166911,x2,C2,0.9991061828929542,0.04047261516104074,0.06557460076661827
predatorFR,0.001,0.001,LMD,0.99990632388344,0.00133413563741506,0.00308572091166911,x2,C3,NA,0.00586836418002335,0.00922609971555074
predatorFR,0.001,0.001,Euclidean,0.9965148916279996,0.01007362363042245,0.01854713795769793,x3,C1,0.3558395801054504,0.052836290150098,0.0743436293231526
predatorFR,0.001,0.001,Euclidean,0.9965148916279996,0.01007362363042245,0.01854713795769793,x3,C2,NA,0.05008083246265383,0.08087689475550214
predatorFR,0.001,0.001,Euclidean,0.9965148916279996,0.01007362363042245,0.01854713795769793,x3,C3,0.980005255427081,0.25154671972271764,0.3413328545752459
predatorFR,0.001,0.001,Geodesic,0.9973384949041372,0.00804044810115274,0.01563910272015591,x3,C1,0.24559587954874668,0.06723999292662017,0.09283097434081608
predatorFR,0.001,0.001,Geodesic,0.9973384949041372,0.00804044810115274,0.01563910272015591,x3,C2,NA,0.0572394067308209,0.08887029044518066
predatorFR,0.001,0.001,Geodesic,0.9973384949041372,0.00804044810115274,0.01563910272015591,x3,C3,0.9832224742729724,0.2344212560476064,0.30902071236078427
predatorFR,0.001,0.001,Multiview,0.9993172597472774,0.00491902971587272,0.00874127021345235,x3,C1,0.1817813429559776,0.03233159941940537,0.04906538708705351
predatorFR,0.001,0.001,Multiview,0.9993172597472774,0.00491902971587272,0.00874127021345235,x3,C2,NA,0.03591180677307751,0.06060528607987078
predatorFR,0.001,0.001,Multiview,0.9993172597472774,0.00491902971587272,0.00874127021345235,x3,C3,0.9947873449262424,0.13213077718525887,0.16676534570082996
predatorFR,0.001,0.001,LMD,0.999788353264894,0.00170826905604988,0.00440807019110005,x3,C1,0.1751538278025559,0.01558360321132535,0.02527194006630356
predatorFR,0.001,0.001,LMD,0.999788353264894,0.00170826905604988,0.00440807019110005,x3,C2,NA,0.00967297370245435,0.01807246792199052
predatorFR,0.001,0.001,LMD,0.999788353264894,0.00170826905604988,0.00440807019110005,x3,C3,0.9986166099145156,0.04943767771365778,0.08137830833985066
predatorFR,0.001,0.051,Euclidean,0.9932187186703418,0.01713871826959285,0.02313092441546397,x1,C1,0.9744367673923066,0.2779036192224892,0.3627825502730166
predatorFR,0.001,0.051,Euclidean,0.9932187186703418,0.01713871826959285,0.02313092441546397,x1,C2,0.23354583509353297,0.10205277217399854,0.13638022344741738
predatorFR,0.001,0.051,Euclidean,0.9932187186703418,0.01713871826959285,0.02313092441546397,x1,C3,0.30221103795038673,0.07646937544969021,0.1076673143653278
predatorFR,0.001,0.051,Geodesic,0.9935169545342256,0.01668478618869584,0.02234091864921941,x1,C1,0.972932544214372,0.2761588532197986,0.36641518031658377
predatorFR,0.001,0.051,Geodesic,0.9935169545342256,0.01668478618869584,0.02234091864921941,x1,C2,0.2504997693366821,0.10593469113471578,0.14310699187256298
predatorFR,0.001,0.051,Geodesic,0.9935169545342256,0.01668478618869584,0.02234091864921941,x1,C3,0.31280144915134883,0.07599206414626268,0.10731884052487556
predatorFR,0.001,0.051,Multiview,0.9953869105756232,0.01486329846728048,0.0188861796270755,x1,C1,0.9767918413725766,0.2765998122463378,0.3475698095719772
predatorFR,0.001,0.051,Multiview,0.9953869105756232,0.01486329846728048,0.0188861796270755,x1,C2,0.1843587707436096,0.09600283493023862,0.13144376837650495
predatorFR,0.001,0.051,Multiview,0.9953869105756232,0.01486329846728048,0.0188861796270755,x1,C3,0.5064842593043287,0.04423506253152942,0.05963208508898426
predatorFR,0.001,0.051,LMD,0.9959499111080544,0.01325600039404583,0.01752522123295901,x1,C1,0.9833083514600875,0.168894886699458,0.28815876377110966
predatorFR,0.001,0.051,LMD,0.9959499111080544,0.01325600039404583,0.01752522123295901,x1,C2,0.31462944410600463,0.0756505150426782,0.10782847359863718
predatorFR,0.001,0.051,LMD,0.9959499111080544,0.01325600039404583,0.01752522123295901,x1,C3,0.4946896548687092,0.02781944469063273,0.05878844577102268
predatorFR,0.001,0.051,Euclidean,0.9871544303615124,0.02594152070304364,0.03474357657411649,x2,C1,-0.1751411935427212,0.13743183278562648,0.1790728226117802
predatorFR,0.001,0.051,Euclidean,0.9871544303615124,0.02594152070304364,0.03474357657411649,x2,C2,0.9686598575370906,0.3423579801462165,0.4276700579801353
predatorFR,0.001,0.051,Euclidean,0.9871544303615124,0.02594152070304364,0.03474357657411649,x2,C3,NA,0.10954291818153455,0.14791134610242876
predatorFR,0.001,0.051,Geodesic,0.986851467545902,0.02616539727109501,0.03517615674902009,x2,C1,-0.18563560335378235,0.12688109362591227,0.166135394898861
predatorFR,0.001,0.051,Geodesic,0.986851467545902,0.02616539727109501,0.03517615674902009,x2,C2,0.9693957024425404,0.34336544785898565,0.425873302385057
predatorFR,0.001,0.051,Geodesic,0.986851467545902,0.02616539727109501,0.03517615674902009,x2,C3,NA,0.10063164729628302,0.13797337791955336
predatorFR,0.001,0.051,Multiview,0.9896696260179654,0.02389379442432079,0.03110587328404054,x2,C1,-0.280680082118541,0.098989178248771445,0.14475709264262393
predatorFR,0.001,0.051,Multiview,0.9896696260179654,0.02389379442432079,0.03110587328404054,x2,C2,0.9589923801624942,0.3952883384966197,0.48908080605431337
predatorFR,0.001,0.051,Multiview,0.9896696260179654,0.02389379442432079,0.03110587328404054,x2,C3,NA,0.05021232068200278,0.06498467438038881
predatorFR,0.001,0.051,LMD,0.9929361779319844,0.0201669941939727,0.02559613169155799,x2,C1,-0.05334671784128513,0.0584040984047717,0.08193697219788008
predatorFR,0.001,0.051,LMD,0.9929361779319844,0.0201669941939727,0.02559613169155799,x2,C2,0.9635560518915768,0.32107646458406724,0.43604457086986737
predatorFR,0.001,0.051,LMD,0.9929361779319844,0.0201669941939727,0.02559613169155799,x2,C3,NA,0.02989180891789608,0.03846094824359383
predatorFR,0.001,0.051,Euclidean,0.990692822243794,0.0217712739349144,0.02934146188348563,x3,C1,0.1349866891249776,0.1191098693044954,0.14726073507525392
predatorFR,0.001,0.051,Euclidean,0.990692822243794,0.0217712739349144,0.02934146188348563,x3,C2,NA,0.0913324808309418,0.11848093571631618
predatorFR,0.001,0.051,Euclidean,0.990692822243794,0.0217712739349144,0.02934146188348563,x3,C3,0.9681891006905377,0.32945685442346595,0.4249330239625661
predatorFR,0.001,0.051,Geodesic,0.9909078670697148,0.02141683827573244,0.02876186541200166,x3,C1,0.1551126689955657,0.11796693031533342,0.14628528947538488
predatorFR,0.001,0.051,Geodesic,0.9909078670697148,0.02141683827573244,0.02876186541200166,x3,C2,NA,0.0950553836891424,0.12533427257739693
predatorFR,0.001,0.051,Geodesic,0.9909078670697148,0.02141683827573244,0.02876186541200166,x3,C3,0.9668027535203016,0.3386819247657278,0.4320209167826417
predatorFR,0.001,0.051,Multiview,0.9921425943399876,0.02070658863453298,0.02681142840824672,x3,C1,0.07245803481431401,0.09812374532553686,0.1289751494132324
predatorFR,0.001,0.051,Multiview,0.9921425943399876,0.02070658863453298,0.02681142840824672,x3,C2,NA,0.09182697987375986,0.15120848272678514
predatorFR,0.001,0.051,Multiview,0.9921425943399876,0.02070658863453298,0.02681142840824672,x3,C3,0.9698360570588924,0.31697572465978197,0.41508938096059034
predatorFR,0.001,0.051,LMD,0.9943986192925012,0.01738371156655402,0.02248425062907229,x3,C1,0.23408104726880807,0.03825287173754705,0.04842368561885781
predatorFR,0.001,0.051,LMD,0.9943986192925012,0.01738371156655402,0.02248425062907229,x3,C2,NA,0.02252694915016585,0.02712382142007289
predatorFR,0.001,0.051,LMD,0.9943986192925012,0.01738371156655402,0.02248425062907229,x3,C3,0.9809853875213554,0.22919893869052232,0.3240649650740259
predatorFR,0.001,0.101,Euclidean,0.973481406450737,0.03492451806918925,0.0449561406096959,x1,C1,0.9555462203251168,0.4234032361016631,0.5218509616793974
predatorFR,0.001,0.101,Euclidean,0.973481406450737,0.03492451806918925,0.0449561406096959,x1,C2,0.3806753406616399,0.09968407400322532,0.13078763000521568
predatorFR,0.001,0.101,Euclidean,0.973481406450737,0.03492451806918925,0.0449561406096959,x1,C3,0.3773806967916865,0.08336271939676215,0.10661381771254276
predatorFR,0.001,0.101,Geodesic,0.9735366221379088,0.03496391293630394,0.04479455771195394,x1,C1,0.9519152544384242,0.4320467090785776,0.5318255703373505
predatorFR,0.001,0.101,Geodesic,0.9735366221379088,0.03496391293630394,0.04479455771195394,x1,C2,0.38688572037405494,0.09744021148061124,0.1262772637945127
predatorFR,0.001,0.101,Geodesic,0.9735366221379088,0.03496391293630394,0.04479455771195394,x1,C3,0.35817961484438493,0.07776424641920136,0.09889227762213892
predatorFR,0.001,0.101,Multiview,0.9776511432907244,0.03186876632390065,0.04135693787313031,x1,C1,0.955224029325332,0.4270534790328808,0.5146104794813406
predatorFR,0.001,0.101,Multiview,0.9776511432907244,0.03186876632390065,0.04135693787313031,x1,C2,0.3437081960359337,0.09816563592656542,0.13376771691643544
predatorFR,0.001,0.101,Multiview,0.9776511432907244,0.03186876632390065,0.04135693787313031,x1,C3,0.41340582916465896,0.05109041338309011,0.06885773414296216
predatorFR,0.001,0.101,LMD,0.9784105189775968,0.03136844233046309,0.04033377273027463,x1,C1,0.9815527360391694,0.31850518621613133,0.41324606869827807
predatorFR,0.001,0.101,LMD,0.9784105189775968,0.03136844233046309,0.04033377273027463,x1,C2,0.7819664327370132,0.04172778479250524,0.05172619555662755
predatorFR,0.001,0.101,LMD,0.9784105189775968,0.03136844233046309,0.04033377273027463,x1,C3,0.5412442911051335,0.02920634444047478,0.0472867552761036
predatorFR,0.001,0.101,Euclidean,0.9758971605380178,0.03627233529869975,0.04764753420733723,x2,C1,-0.35400590495414436,0.1763449939190232,0.24962451711008293
predatorFR,0.001,0.101,Euclidean,0.9758971605380178,0.03627233529869975,0.04764753420733723,x2,C2,0.9461653547983448,0.4795618057636237,0.6105973328743738
predatorFR,0.001,0.101,Euclidean,0.9758971605380178,0.03627233529869975,0.04764753420733723,x2,C3,NA,0.11297765083659748,0.1692431419342362
predatorFR,0.001,0.101,Geodesic,0.9756574215512996,0.03614593418562806,0.04785475484529609,x2,C1,-0.35894272939951716,0.1843841026054975,0.26525519205595016
predatorFR,0.001,0.101,Geodesic,0.9756574215512996,0.03614593418562806,0.04785475484529609,x2,C2,0.9434974099339768,0.4817265080057605,0.6170712406273351
