tar,exp,run,E,rho,mae,rmse,Jacobian
Pa,1,1,2,0.9287782648946574,0.25048867501417477,0.3687863990657306,-0.2602790701857512
Dn,1,1,2,0.9287889604303171,0.25044603687124606,0.36878711822357857,0.8351100151883756
Pa,1,2,3,0.9421980102075739,0.2568533938879692,0.33334248979333875,-0.3058831816320948
Dn,1,2,3,0.9279045465629489,0.2655440332513691,0.3711916420535057,0.9158254399505787
Pa,1,3,3,0.9335431294949638,0.2842567881605112,0.3573150183947603,-0.3599810376702315
Dn,1,3,3,0.912972292415274,0.31316555097709786,0.40517534834659874,0.8312721981840876
Pa,1,4,2,0.9236543761024981,0.26673201346392184,0.37972146033572785,-0.2965100704360328
Dn,1,4,3,0.9158439077043683,0.2848011539404875,0.3995723828801567,0.8074236274718098
Pa,1,5,3,0.931595727924669,0.2685162741092262,0.36287894087156913,-0.39695554310951214
Dn,1,5,3,0.9150059891854241,0.29620480714913067,0.4016563781057439,0.6458085437612386
Pa,1,6,3,0.9308771078769644,0.2662756470880944,0.3638193473366308,-0.3639479271488659
Dn,1,6,3,0.9108241363878112,0.29024315741748624,0.41000181199748914,0.8276305687552941
Pa,1,7,2,0.9263703963745835,0.27257733293733827,0.37278619181846306,-0.2810311213364038
Dn,1,7,4,0.924999847350495,0.27662958605006777,0.37996112312598407,0.693725925640112
Pa,1,8,2,0.9311824551560032,0.2736682970106357,0.36117428969126286,-0.24155646508987952
Dn,1,8,2,0.9311894560193038,0.2736990639559815,0.36117455478760185,0.8339443908371265
Pa,1,9,2,0.9059713969697922,0.30092387138845716,0.4197498796576749,-0.36218303466696034
Dn,1,9,3,0.8991234827416379,0.3118071950619463,0.435113515002274,0.8251879801816476
Pa,1,10,3,0.9383213206901894,0.25480265682349523,0.3432693352336309,-0.25493976791042705
Dn,1,10,2,0.9325795396894786,0.2638081546893753,0.35735416218704974,0.8446770591910825
Pa,1,11,3,0.9249089836492741,0.27562422568646383,0.3795863530027509,-0.38503593548634574
Dn,1,11,3,0.9020077105704883,0.2965739315348388,0.429355772064142,0.8380693303370739
Pa,1,12,6,0.942269829776551,0.2546985702096353,0.34078422303824407,-0.26427191132908484
Dn,1,12,3,0.9185147686393587,0.289641859062651,0.39277983928497223,0.884636121894297
Pa,1,13,3,0.929423718165856,0.27857942873861535,0.3698720471472963,-0.36104195786455245
Dn,1,13,3,0.9139531017059642,0.296212372835663,0.4039847019660104,0.865979462768459
Pa,1,14,2,0.911791092820923,0.28421906281540654,0.40809619173257655,-0.3297655184640489
Dn,1,14,2,0.9117897663080593,0.28419809990975836,0.4080961230041723,0.814669343996125
Pa,1,15,2,0.923121665515279,0.2712271446288207,0.38081938214838573,-0.2514319035062696
Dn,1,15,3,0.9202189776094366,0.2850269246346801,0.3897262973702851,0.8723682390959848
Pa,1,16,4,0.9208202170631943,0.3003239222680605,0.38970049754049546,-0.32830935311507353
Dn,1,16,3,0.9039728969716869,0.30718091223879856,0.4248511224290497,0.838194737276677
Pa,1,17,3,0.915107184671419,0.27752633772641583,0.4041699366254791,-0.3679421909196635
Dn,1,17,2,0.899687915278098,0.29267708020942457,0.4323317523278897,0.8377010730849722
Pa,1,18,2,0.9155526992541342,0.2801244923477345,0.4004373053197018,-0.37489737964673453
Dn,1,18,3,0.9153645801440757,0.2902334891266951,0.4028620102805734,0.5095775895944032
Pa,1,19,2,0.9237357615239868,0.25652647718611904,0.37923649188636416,-0.30169647342597666
Dn,1,19,4,0.9211728966230167,0.27496951209069437,0.3895749438374986,0.7049112566312873
Pa,1,20,2,0.9088812421528413,0.3062299547678265,0.41268733715789246,-0.28856229473194633
Dn,1,20,3,0.9046617709760228,0.3092578423955283,0.4232694955559293,0.849257919996137
Pa,1,21,3,0.9323413279666465,0.2734723713407331,0.3603416724108841,-0.39824766929751226
Dn,1,21,3,0.9064926235342541,0.2915005266290218,0.4190688617290679,0.7292031315718148
Pa,1,22,2,0.9310917062244769,0.2696977080931127,0.3625899645127153,-0.3333197383199204
Dn,1,22,3,0.925210732085752,0.27229670320137034,0.3780154046222613,0.3803085854942108
Pa,1,23,3,0.9241604881523477,0.2717325565359836,0.3809277531605845,-0.3949625587197791
Dn,1,23,3,0.9023979373942326,0.3063586297666103,0.4293170215581519,0.8495543117074787
Pa,1,24,5,0.9304273404234822,0.273316758472661,0.3708662804798065,-0.3753398697661931
Dn,1,24,2,0.9212814157528953,0.27822334711309804,0.38504026107408956,0.8536087860344688
Pa,1,25,2,0.9204038670860814,0.2969161989155766,0.39056157159093746,-0.3864867123173857
Dn,1,25,2,0.9194610107916077,0.2762282251201914,0.3908670263508517,0.8318944535506336
Pa,1,26,3,0.9376473941378276,0.2576533406914208,0.3476776100275025,-0.38136320245723676
Dn,1,26,4,0.9261057449129921,0.2934354163569213,0.37755803425614476,0.7962051591169098
Pa,1,27,2,0.918122927803084,0.2699084326018694,0.39253543985882494,-0.26500101475924925
Dn,1,27,3,0.9157107829666368,0.2784685427625115,0.3992539021565896,0.8720614251265988
Pa,1,28,3,0.9234947668174138,0.28152283111534454,0.38208209030234686,-0.3838218582075982
Dn,1,28,3,0.9020542470531638,0.30080034427053165,0.4284936694138085,0.8538182986972787
Pa,1,29,2,0.917443328537409,0.27395927714839513,0.39439044920144956,-0.2672875918562044
Dn,1,29,3,0.9123187478613649,0.2882417856224071,0.4075625277293576,0.8300006213833758
Pa,1,30,2,0.9278102902419033,0.2763668253776415,0.370255007469907,-0.5043609615505376
Dn,1,30,3,0.9129088696703759,0.2671341015747942,0.4061721811859475,0.8689359890531027
Pa,1,31,4,0.9349364270903111,0.2501432737805307,0.3566098651510461,-0.28970368616935704
