method,len,repNo,time,rho,mae,rmse,rho_coef,mae_coef,rmse_coef
LMD,50,1,1.823999999999999,0.9825592504740307,0.03298026301147365,0.04086573706497684,0.9435150672458787,0.6121882680535927,0.6855964189180124
LMD,50,1,1.823999999999999,0.9825592504740307,0.03298026301147365,0.04086573706497684,0.08185985737491897,0.1254826865780216,0.16216491161693822
LMD,50,1,1.823999999999999,0.9825592504740307,0.03298026301147365,0.04086573706497684,-0.2270542893621631,0.06630129189509663,0.09195495876740759
LMD,50,1,1.823999999999999,0.9825592504740307,0.03298026301147365,0.04086573706497684,0.20642018707842139,0.21926061692945306,0.30227139066398884
LMD,50,1,1.823999999999999,0.9825592504740307,0.03298026301147365,0.04086573706497684,0.6038752859936398,0.2401607295020846,0.30426581335174585
MVD,50,1,4.679,0.9813922951629533,0.03317849273747609,0.04253375966036955,0.9697047202348307,0.624329130677624,0.7029910483506099
MVD,50,1,4.679,0.9813922951629533,0.03317849273747609,0.04253375966036955,0.6291133446059389,0.07640061496495684,0.11219350256404749
MVD,50,1,4.679,0.9813922951629533,0.03317849273747609,0.04253375966036955,-0.4308494935515677,0.05899176265778361,0.07935736825040848
MVD,50,1,4.679,0.9813922951629533,0.03317849273747609,0.04253375966036955,0.5825793436277144,0.1843980648840228,0.2275218700120529
MVD,50,1,4.679,0.9813922951629533,0.03317849273747609,0.04253375966036955,0.9073757983631733,0.1866107346814632,0.25305883320849365
LMD,100,1,4.355999999999998,0.9767546645399448,0.03810961247066192,0.04810272707039246,0.9707995763742356,0.5430665668480004,0.6761104175308497
LMD,100,1,4.355999999999998,0.9767546645399448,0.03810961247066192,0.04810272707039246,0.08272596268677769,0.10206071684469141,0.1370389963395437
LMD,100,1,4.355999999999998,0.9767546645399448,0.03810961247066192,0.04810272707039246,0.5960673058894003,0.055739609802332106,0.0752086921959831
LMD,100,1,4.355999999999998,0.9767546645399448,0.03810961247066192,0.04810272707039246,0.5993788042707491,0.13396948465017217,0.14896541161384824
LMD,100,1,4.355999999999998,0.9767546645399448,0.03810961247066192,0.04810272707039246,0.36797700154445656,0.10202096922422094,0.1333846373901327
MVD,100,1,8.396,0.9388206347218964,0.05709619174427659,0.07877630433382475,0.9357526673220424,0.6789496966177538,0.8230287124229221
MVD,100,1,8.396,0.9388206347218964,0.05709619174427659,0.07877630433382475,-0.09141448352476801,0.24828586783242673,0.5444664740756078
MVD,100,1,8.396,0.9388206347218964,0.05709619174427659,0.07877630433382475,0.28139654773173406,0.10238635094889487,0.13739169844984572
MVD,100,1,8.396,0.9388206347218964,0.05709619174427659,0.07877630433382475,0.02057220395864381,0.25794687112807707,0.4021758414336589
MVD,100,1,8.396,0.9388206347218964,0.05709619174427659,0.07877630433382475,0.207205739506703,0.2892287113549035,0.47544780788878016
LMD,150,1,8.439999999999998,0.9835142407546544,0.030117248521214595,0.03979600640867204,0.9634010120971654,0.45109015889184995,0.5741158721738899
LMD,150,1,8.439999999999998,0.9835142407546544,0.030117248521214595,0.03979600640867204,0.10715971953775885,0.0891567190648951,0.11310244732429212
LMD,150,1,8.439999999999998,0.9835142407546544,0.030117248521214595,0.03979600640867204,-0.00926700507418687,0.06443371623685991,0.09580540067327041
LMD,150,1,8.439999999999998,0.9835142407546544,0.030117248521214595,0.03979600640867204,0.4373781687099702,0.10735167189409713,0.13922155504848568
